doc_id	chunk_id	subject	predicate	object	evidence	confidence	evaluation_layer	object_normalized
colon_v4_2025	5	SBRT	ACHIEVES_OUTCOME	durable local control	SBRT or other hypofractionated regimens with BED10>100 Gy are preferred...to provide durable local control.	HIGH	context_attribute	durable local control
colon_v4_2025	5	hypofractionated regimens	ACHIEVES_OUTCOME	durable local control	SBRT or other hypofractionated regimens with BED10>100 Gy are preferred...to provide durable local control.	HIGH	context_attribute	durable local control
colon_v4_2025	5	nivolumab and hyaluronidase-nvhy	ALTERNATIVE_TO	IV nivolumab	for nivolumab monotherapy, nivolumab and hyaluronidase-nvhy subcutaneous injection may be substituted for IV nivolumab.	HIGH	core_relation	iv nivolumab
colon_v4_2025	5	Encorafenib	COMBINED_WITH	cetuximab	Encorafenib + (cetuximab or panitumumab) + FOLFOX regimen	HIGH	core_relation	cetuximab
colon_v4_2025	5	Encorafenib	COMBINED_WITH	panitumumab	Encorafenib + (cetuximab or panitumumab) + FOLFOX regimen	HIGH	core_relation	panitumumab
colon_v4_2025	5	SBRT	COMBINED_WITH	other metastatic-directed therapies	SBRT ean be used atone or in conjunetion with other metastatic-directed therapies for patients with oligometastatic disease.	HIGH	core_relation	other metastatic-directed therapies
colon_v4_2025	5	HAI chemotherapy	CONTRAINDICATED_IN	concurrent bevacizumab or other VEGF inhibitors	HAI chemotherapy cannot be delivered with concurrent bevacizumab or other VEGF inhibitors	HIGH	core_relation	concurrent bevacizumab or other vegf inhibitors
colon_v4_2025	5	SBRT	HAS_DOSE	30-60 Gy	SBRT: 30-60 Gy (typieally in 3-5 fractions).	HIGH	core_relation	30-60 gy
colon_v4_2025	5	Encorafenib + cetuximab + FOLFOX	HAS_EVIDENCE_LEVEL	category 2a	Encorafenib + (cetuximab or panitumumab) + FOLFOX regimen added as a category 2A recommendation	HIGH	core_relation	category 2a
colon_v4_2025	5	Encorafenib + cetuximab + FOLFOX	HAS_EVIDENCE_LEVEL	category 2b	Encorafenib + (cetuximab or panitumumab) + FOLFOX regimen added as a category 2B recommendation	HIGH	core_relation	category 2b
colon_v4_2025	5	Encorafenib + panitumumab + FOLFOX	HAS_EVIDENCE_LEVEL	category 2a	Encorafenib + (cetuximab or panitumumab) + FOLFOX regimen added as a category 2A recommendation	HIGH	core_relation	category 2a
colon_v4_2025	5	SBRT	HAS_FREQUENCY	3-5 fractions	SBRT: 30-60 Gy (typieally in 3-5 fractions).	HIGH	core_relation	3-5 fractions
colon_v4_2025	5	nivolumab and hyaluronidase-nvhy	HAS_ROUTE	subcutaneous injection	nivolumab and hyaluronidase-nvhy subcutaneous injection may be substituted for IV nivolumab.	HIGH	core_relation	subcutaneous injection
colon_v4_2025	5	SBRT	HAS_STRENGTH	preferred	SBRT or other hypofractionated regimens with BED10>100 Gy are preferred in the context of oligometastatic disease	HIGH	core_relation	preferred
colon_v4_2025	5	Encorafenib + cetuximab + FOLFOX	INDICATED_FOR_STAGE	initial therapy for advanced or metastatic disease	Encorafenib + (cetuximab or panitumumab) + FOLFOX regimen added as a category 2A recommendation for BRAF V600E mutation positive	HIGH	context_attribute	initial therapy for advanced or metastatic disease
colon_v4_2025	5	Encorafenib + cetuximab + FOLFOX	INDICATED_FOR_STAGE	second-line and subsequent therapy	Encorafenib + (cetuximab or panitumumab) + FOLFOX regimen added as a category 2B recommendation for BRAF V600E mutation positive	HIGH	context_attribute	second-line and subsequent therapy
colon_v4_2025	5	Encorafenib + panitumumab + FOLFOX	INDICATED_FOR_STAGE	initial therapy for advanced or metastatic disease	Encorafenib + (cetuximab or panitumumab) + FOLFOX regimen added as a category 2A recommendation for BRAF V600E mutation positive	HIGH	context_attribute	initial therapy for advanced or metastatic disease
colon_v4_2025	5	Encorafenib + panitumumab + FOLFOX	INDICATED_FOR_STAGE	second-line and subsequent therapy	Encorafenib + (cetuximab or panitumumab) + FOLFOX regimen added as a category 2B recommendation for BRAF V600E mutation positive	HIGH	context_attribute	second-line and subsequent therapy
colon_v4_2025	5	SBRT	INDICATED_FOR_STAGE	oligometastatic disease	Consider SBRT for patients with oligemetastatic disease.	HIGH	context_attribute	oligometastatic disease
colon_v4_2025	5	Encorafenib + cetuximab + FOLFOX	USED_IN_POPULATION	BRAF V600E mutation positive	Encorafenib + (cetuximab or panitumumab) + FOLFOX regimen added as a category 2A recommendation for BRAF V600E mutation positive	HIGH	context_attribute	braf v600e mutation positive
colon_v4_2025	5	SBRT	USED_IN_POPULATION	oligometastatic disease	SBRT or other hypofractionated regimens with BED10>100 Gy are preferred in the context of oligometastatic disease	HIGH	context_attribute	oligometastatic disease
colon_v4_2025	5	SBRT	USED_IN_POPULATION	larger lesions or more extensive disease, if sufficient uninvolved liver/lung	SBRT can be considered for larger lesions or more extensive disease, if there is sufficient uninvolved liver/lung	HIGH	context_attribute	larger lesions or more extensive disease, if sufficient uninvolved liver/lung
colon_v4_2025	5	SBRT	USED_IN_POPULATION	limited number of liver or lung metastases	In patients with a limited number of liver or lung metastases, ablative radiotherapy to the metastatic site can be considered	HIGH	context_attribute	limited number of liver or lung metastases
colon_v4_2025	5	ablative radiotherapy	USED_IN_POPULATION	unresectable metastasis	Ablative radiotherapy can be considered for patients with unresectable metastasis	HIGH	context_attribute	unresectable metastasis
colon_v4_2025	5	ablative radiotherapy	USED_IN_POPULATION	nonoperative approach	Ablative radiotherapy can be considered...in patients preferring a nonoperative approach.	HIGH	context_attribute	nonoperative approach
testicular_v2_2025	57	BEP	ALTERNATIVE_TO	EP	three cycles of BEP or four cycles of EP	HIGH	core_relation	ep
testicular_v2_2025	57	BEP	HAS_DOSE	three cycles	chemotherapy with three cycles of BEP	HIGH	core_relation	three cycles
testicular_v2_2025	57	EP	HAS_DOSE	four cycles	four cycles of EP	HIGH	core_relation	four cycles
testicular_v2_2025	57	EP	HAS_DOSE	two cycles	chemotherapy with two cycles of EP	HIGH	core_relation	two cycles
testicular_v2_2025	57	BEP	HAS_STRENGTH	preferred	both BEP and EP are preferred regimens	HIGH	core_relation	preferred
testicular_v2_2025	57	BEP	HAS_STRENGTH	category 1	both category 1; both preferred	HIGH	core_relation	category 1
testicular_v2_2025	57	EP	HAS_STRENGTH	preferred	both BEP and EP are preferred regimens	HIGH	core_relation	preferred
testicular_v2_2025	57	BEP	INDICATED_FOR_STAGE	stage IIA nonseminoma	the NCCN Panel recommends either nerve-sparing RPLND or chemotherapy with three cycles of BEP or four cycles of EP as primary treatment options	HIGH	context_attribute	stage iia nonseminoma
testicular_v2_2025	57	BEP	INDICATED_FOR_STAGE	stage IIA seminoma	the NCCN Panel recommends first-line chemotherapy with three cycles of BEP or four cycles of EP	HIGH	context_attribute	stage iia seminoma
testicular_v2_2025	57	BEP	INDICATED_FOR_STAGE	stage IIB nonseminoma	patients may receive first-line chemotherapy with either three cycles of BEP or four cycles of EP (both preferred)	HIGH	context_attribute	stage iib nonseminoma
testicular_v2_2025	57	BEP	INDICATED_FOR_STAGE	stage IIB nonseminoma	first-line chemotherapy (three cycles of BEP or four cycles of EP; both preferred) is recommended	HIGH	context_attribute	stage iib nonseminoma
testicular_v2_2025	57	BEP	INDICATED_FOR_STAGE	stage IIB nonseminoma	first-line chemotherapy with either three cycles of BEP or four cycles of EP (both category 1; both preferred)	HIGH	context_attribute	stage iib nonseminoma
testicular_v2_2025	57	EP	INDICATED_FOR_STAGE	stage IIA seminoma	the NCCN Panel recommends first-line chemotherapy with three cycles of BEP or four cycles of EP	HIGH	context_attribute	stage iia seminoma
testicular_v2_2025	57	EP	INDICATED_FOR_STAGE	stage IIB nonseminoma	patients may receive first-line chemotherapy with either three cycles of BEP or four cycles of EP (both preferred)	HIGH	context_attribute	stage iib nonseminoma
testicular_v2_2025	57	EP	INDICATED_FOR_STAGE	stage IIB nonseminoma	first-line chemotherapy (three cycles of BEP or four cycles of EP; both preferred) is recommended	HIGH	context_attribute	stage iib nonseminoma
testicular_v2_2025	57	EP	INDICATED_FOR_STAGE	stage IIB nonseminoma	first-line chemotherapy with either three cycles of BEP or four cycles of EP (both category 1; both preferred)	HIGH	context_attribute	stage iib nonseminoma
testicular_v2_2025	57	RPLND	INDICATED_FOR_STAGE	stage II tumors with somatic type malignancy	RPLND is preferred as primary treatment for stage II tumors with somatic type malignancy	HIGH	context_attribute	stage ii tumors with somatic type malignancy
testicular_v2_2025	57	nerve-sparing RPLND	INDICATED_FOR_STAGE	stage IIA nonseminoma	the NCCN Panel recommends either nerve-sparing RPLND or chemotherapy with three cycles of BEP or four cycles of EP as primary treatment options	HIGH	context_attribute	stage iia nonseminoma
testicular_v2_2025	57	surveillance	INDICATED_FOR_STAGE	patients with pN0 disease after primary nerve-sparing RPLND	surveillance is recommended for this group	HIGH	context_attribute	patients with pn0 disease after primary nerve-sparing rplnd
testicular_v2_2025	57	surveillance	INDICATED_FOR_STAGE	patients with pN1 disease after primary nerve-sparing RPLND	Surveillance is also the preferred option for patients with pN1 disease	HIGH	context_attribute	patients with pn1 disease after primary nerve-sparing rplnd
testicular_v2_2025	57	bleomycin-free regimen	USED_IN_POPULATION	higher risk for bleomycin-related complications	A bleomycin-free regimen should be given to patients at higher risk for bleomycin-related complications	HIGH	context_attribute	higher risk for bleomycin-related complications
testicular_v2_2025	57	bleomycin-free regimen	USED_IN_POPULATION	aged >50 years	patients aged >50 years	HIGH	context_attribute	aged >50 years
testicular_v2_2025	57	bleomycin-free regimen	USED_IN_POPULATION	diminished renal function	those with diminished renal function	HIGH	context_attribute	diminished renal function
testicular_v2_2025	57	first-line chemotherapy (BEP or EP)	USED_IN_POPULATION	multifocal disease	Chemotherapy is considered particularly appropriate if the patient has multifocal disease	HIGH	context_attribute	multifocal disease
testicular_v2_2025	57	nerve-sparing RPLND	USED_IN_POPULATION	high-volume center	Referral to a high-volume center is recommended for those patients who undergo nerve-sparing RPLND	HIGH	context_attribute	high-volume center
cns_v2_2025	8	ivosidenib	ALTERNATIVE_TO	vorasidenib	Ivosidenib for IDH1 mutation (if unable to tolerate vorasidenib)	HIGH	core_relation	vorasidenib
cns_v2_2025	8	ivosidenib	HAS_EVIDENCE_LEVEL	category 2b	category 2B recommendation	HIGH	core_relation	category 2b
cns_v2_2025	8	vorasidenib	HAS_EVIDENCE_LEVEL	category 1	category 1 for residual/measurable disease after surgery/biopsy	HIGH	core_relation	category 1
cns_v2_2025	8	vorasidenib	HAS_EVIDENCE_LEVEL	category 2b	category 2B recommendation	HIGH	core_relation	category 2b
cns_v2_2025	8	ivosidenib	HAS_STRENGTH	useful in certain circumstances	"Useful in Certain Circumstances
Modified: Ivosidenib for IDH1 mutation..."	HIGH	core_relation	useful in certain circumstances
cns_v2_2025	8	vorasidenib	HAS_STRENGTH	preferred	"Preferred
Modified: Vorasidenib (if residual disease is present)..."	HIGH	core_relation	preferred
cns_v2_2025	8	ivosidenib	INDICATED_FOR_STAGE	WHO grade 2	Ivosidenib for IDH1 mutant grade 2.	HIGH	context_attribute	who grade 2
cns_v2_2025	8	ivosidenib	INDICATED_FOR_STAGE	adjuvant treatment, WHO grade 3	Adjuvant Treatment WHO grade 3, KPS ≥60.	HIGH	context_attribute	adjuvant treatment, who grade 3
cns_v2_2025	8	ivosidenib	INDICATED_FOR_STAGE	GLIO-A 4	Ivosidenib for IDH1 mutation... (Also for GLIO-A 4).	HIGH	context_attribute	glio-a 4
cns_v2_2025	8	ivosidenib	INDICATED_FOR_STAGE	WHO grade 3	Ivosidenib for IDH1 mutation (category 2 B for WHO grade 3).	HIGH	context_attribute	who grade 3
cns_v2_2025	8	ivosidenib	INDICATED_FOR_STAGE	recurrent/progressive, WHO grade 3	Ivosidenib for IDH1 mutation (Also for recurrent or progressive disease, WHO grade 3, K P S ≥60, GLIO-4).	HIGH	context_attribute	recurrent/progressive, who grade 3
cns_v2_2025	8	ivosidenib	INDICATED_FOR_STAGE	adjuvant treatment, WHO grade 3	Adjuvant Treatment, KPS < 60 grade 3	HIGH	context_attribute	adjuvant treatment, who grade 3
cns_v2_2025	8	ivosidenib	INDICATED_FOR_STAGE	recurrent/progressive, WHO grade 3	Ivosidenib for IDH1 mutation (if unable to tolerate vorasidenib) (Also for recurrent or progressive disease, WHO grade 3, K P S ≥60, GLIO-4)	HIGH	context_attribute	recurrent/progressive, who grade 3
cns_v2_2025	8	vorasidenib	INDICATED_FOR_STAGE	residual/measurable disease after surgery/biopsy	category 1 for residual/measurable disease after surgery/biopsy	HIGH	context_attribute	residual/measurable disease after surgery/biopsy
cns_v2_2025	8	vorasidenib	INDICATED_FOR_STAGE	WHO grade 2	WHO grade 2, KPS ≥60	HIGH	context_attribute	who grade 2
cns_v2_2025	8	vorasidenib	INDICATED_FOR_STAGE	GLIO-A 4	Vorasidenib for IDH1 or IDH2 mutations (category 2B) recommendation (Also for GLIO-A 4).	HIGH	context_attribute	glio-a 4
cns_v2_2025	8	vorasidenib	INDICATED_FOR_STAGE	WHO grade 3	Vorasidenib for IDH1 or IDH2 mutations (category 2B for WHO grade 3).	HIGH	context_attribute	who grade 3
cns_v2_2025	8	vorasidenib	INDICATED_FOR_STAGE	adjuvant treatment, WHO grade 3	Adjuvant Treatment, KPS < 60 grade 3	HIGH	context_attribute	adjuvant treatment, who grade 3
cns_v2_2025	8	ivosidenib	REQUIRES_BIOMARKER	IDH1 mutation	Ivosidenib for IDH1 mutation	HIGH	core_relation	idh1 mutation
cns_v2_2025	8	vorasidenib	REQUIRES_BIOMARKER	IDH1 or IDH2 mutations	Vorasidenib (if residual disease is present)...for IDH1 or IDH2 mutations.	HIGH	core_relation	idh1 or idh2 mutations
cns_v2_2025	8	ivosidenib	TREATS	oligodendroglioma	Ivosidenib for IDH1 mutation (if unable to tolerate vorasidenib)	HIGH	core_relation	oligodendroglioma
cns_v2_2025	8	vorasidenib	TREATS	oligodendroglioma	Vorasidenib (if residual disease is present)...for IDH1 or IDH2 mutations.	HIGH	core_relation	oligodendroglioma
cns_v2_2025	8	vorasidenib	TREATS	oligodendroglioma	Vorasidenib (if residual disease is present)...for IDH1 or IDH2 mutations.	HIGH	core_relation	oligodendroglioma
cns_v2_2025	8	ivosidenib	USED_IN_POPULATION	KPS ≥60	Adjuvant Treatment WHO grade 3, KPS ≥60.	HIGH	context_attribute	kps ≥60
cns_v2_2025	8	vorasidenib	USED_IN_POPULATION	KPS ≥60	WHO grade 2, KPS ≥60	HIGH	context_attribute	kps ≥60
thyroid_v1_2025	89	Adjuvant RT	ACHIEVES_OUTCOME	improved survival	Adjuvant RT, especially when combined with concurrent chemotherapy, is associated with improved survival	HIGH	context_attribute	improved survival
thyroid_v1_2025	89	EBRT	ACHIEVES_OUTCOME	increase survival	EBRT can increase survival in some patients	HIGH	context_attribute	increase survival
thyroid_v1_2025	89	EBRT	ACHIEVES_OUTCOME	improve local control	EBRT can also improve local control	HIGH	context_attribute	improve local control
thyroid_v1_2025	89	Higher RT dose	ACHIEVES_OUTCOME	OS	Higher RT dose is associated with OS in patients with unresected ATC	HIGH	context_attribute	os
thyroid_v1_2025	89	dabrafenib plus trametinib	ACHIEVES_OUTCOME	ORR 69%	The confirmed ORR was 69%(95% Cl, 41%-89%)	HIGH	context_attribute	orr 69%
thyroid_v1_2025	89	dabrafenib plus trametinib	ACHIEVES_OUTCOME	ORR 56%	analysis including 36 patients showed an ORR of 56% ( 95% CI, 38.1%- 72.1% )	HIGH	context_attribute	orr 56%
thyroid_v1_2025	89	neurosurgical resection	ALTERNATIVE_TO	RT	For solitary brain lesions, either neurosurgical resection or RT is recommended	HIGH	core_relation	rt
thyroid_v1_2025	89	Adjuvant RT	COMBINED_WITH	concurrent chemotherapy	Adjuvant RT, especially when combined with concurrent chemotherapy	HIGH	core_relation	concurrent chemotherapy
thyroid_v1_2025	89	RT	COMBINED_WITH	concurrent chemotherapy	RT, usually with concurrent chemotherapy	HIGH	core_relation	concurrent chemotherapy
thyroid_v1_2025	89	dabrafenib	COMBINED_WITH	trametinib	Dabrafenib plus trametinib combination is an option for BRAF V600E mutation-positive tumors	HIGH	core_relation	trametinib
thyroid_v1_2025	89	doxorubicin	COMBINED_WITH	cisplatin	Doxorubicin combined with cisplatin is an option based on a small randomized trial	HIGH	core_relation	cisplatin
thyroid_v1_2025	89	dabrafenib	HAS_DOSE	150 mg	dabrafenib 150 mg , twice daily	HIGH	core_relation	150 mg
thyroid_v1_2025	89	trametinib	HAS_DOSE	2 mg	trametinib 2 mg , once daily	HIGH	core_relation	2 mg
thyroid_v1_2025	89	paclitaxel plus carboplatin	HAS_EVIDENCE_LEVEL	category 2b	these are category 2B options based on lowquality evidence and less Panel consensus	HIGH	core_relation	category 2b
thyroid_v1_2025	89	chemoradiation	HAS_FREQUENCY	weekly chemotherapy regimens	the ATA Guidelines recommend using weekly chemotherapy regimens	HIGH	core_relation	weekly chemotherapy regimens
thyroid_v1_2025	89	dabrafenib	HAS_FREQUENCY	twice daily	dabrafenib 150 mg , twice daily	HIGH	core_relation	twice daily
thyroid_v1_2025	89	IMRT	HAS_STRENGTH	encouraged	IMRT technique is encouraged	HIGH	core_relation	encouraged
thyroid_v1_2025	89	EBRT	INDICATED_FOR_STAGE	palliation	can be used for palliation (eg, to prevent asphyxiation)	HIGH	context_attribute	palliation
thyroid_v1_2025	89	RT	INDICATED_FOR_STAGE	solitary brain lesions	For solitary brain lesions, either neurosurgical resection or RT is recommended	HIGH	context_attribute	solitary brain lesions
thyroid_v1_2025	89	RT	INDICATED_FOR_STAGE	unresected or incompletely resected disease	For unresected or incompletely resected disease, RT, usually with concurrent chemotherapy, should commence as quickly as possible	HIGH	context_attribute	unresected or incompletely resected disease
thyroid_v1_2025	89	dabrafenib plus trametinib	REQUIRES_BIOMARKER	BRAF V600E mutation	Dabrafenib plus trametinib combination is an option for BRAF V600E mutation-positive tumors	HIGH	core_relation	braf v600e mutation
thyroid_v1_2025	89	entrectinib	REQUIRES_BIOMARKER	NTRK gene fusion	larotrectinib, entrectinib, or repotrectinib are options for NTRK gene fusion-positive tumors	HIGH	core_relation	ntrk gene fusion
thyroid_v1_2025	89	larotrectinib	REQUIRES_BIOMARKER	NTRK gene fusion	larotrectinib, entrectinib, or repotrectinib are options for NTRK gene fusion-positive tumors	HIGH	core_relation	ntrk gene fusion
thyroid_v1_2025	89	dabrafenib plus trametinib	TREATS	ATC	FDA approved dabrafenib/trametinib for ATC with BRAF V600E mutation in 2018	HIGH	core_relation	atc
thyroid_v1_2025	89	enteral nutrition	USED_IN_POPULATION	difficulty swallowing	Enteral nutrition may be useful for some patients who have difficulty swallowing	HIGH	context_attribute	difficulty swallowing
